title,stack,url
Backend Developer (Python),"Python,Mongo,SQL,Git,AWS,Docker,OOP,Kubernetes,React",https://djinni.co/jobs/610177-backend-developer-python-/
Senior Python Developer,"Python,Django,PostgreSQL,Flask,FastApi,SQL,Git,AWS,Docker,Streamlit",https://djinni.co/jobs/610102-senior-python-developer/
Senior Python Developer,"Python,MySQL,Mongo,Flask,FastApi,SQL,Celery,Docker,SQLAlchemy,Pydantic,Kubernetes",https://djinni.co/jobs/610036-senior-python-developer/
Senior Python Developer,"Python,AWS,React",https://djinni.co/jobs/610007-senior-python-developer/
Senior Python Backend Engineer,"Python,Django,DRF,Mongo,Redis,PostgreSQL,SQL,REST Api,AWS,Docker,OOP,Kubernetes,Linux,NoSQL",https://djinni.co/jobs/610015-senior-python-backend-engineer/
Python Developer,Python,https://djinni.co/jobs/610173-python-developer/
Python Developer (Data engineering),"Python,Redis,PostgreSQL,SQL,AWS,Kafka,NoSQL",https://djinni.co/jobs/587240-python-developer-data-engineering-/
Senior Python Engineer (only Poland),"Python,Django,Mongo,SQL,Celery,AWS,Docker,Kubernetes",https://djinni.co/jobs/610216-senior-python-engineer-only-poland-/
Middle/Senior Python/Django developer,"Python,Django,DRF,MySQL,Redis,SQL,Git,Celery,Docker,OOP",https://djinni.co/jobs/452781-middle-senior-python-django-developer/
FullStack (Python/React.js) Tech Lead,"Python,Django,DRF,Git,Celery,Docker,React",https://djinni.co/jobs/610199-fullstack-python-react-js-tech-lead/
Python Developer,"Python,Django,JavaScript,HTML,CSS",https://djinni.co/jobs/596749-python-developer/
Middle Python Engineer,"Python,Git,REST Api,Kubernetes",https://djinni.co/jobs/304711-middle-python-engineer/
Senior Full Stack Engineer (React/Vue+Python),"Python,Django,Flask,SQL,Git,Celery,Docker,React,Vue,NoSQL",https://djinni.co/jobs/602887-senior-full-stack-engineer-react-vue-python-/
Odoo Developer (Middle/Senior),"Python,PostgreSQL,SQL,Git,Docker,Bootstrap,HTML,CSS",https://djinni.co/jobs/359059-odoo-developer-middle-senior-/
"Python Developer with GCP, Cloud Service Business Solutions","Python,Flask,SQL,Git,Docker,NoSQL",https://djinni.co/jobs/610252-python-developer-with-gcp-cloud-service-busin/
Senior Python/Django Engineer,"Python,Django,MySQL,SQL,AWS,Docker,Kubernetes,React",https://djinni.co/jobs/538539-senior-python-django-engineer/
Python Lead,"Python,SQL,AWS,NoSQL",https://djinni.co/jobs/609962-python-lead/
Middle Python Developer,"Python,Django,Flask,SQL,Docker,Kubernetes,Linux,Angular,React,Vue,NoSQL",https://djinni.co/jobs/550647-middle-python-developer/
